source,target
0,13
0,15
0,19
0,31
0,48
0,59
0,79
0,89
1,57
1,82
1,99
2,30
2,44
2,58
2,68
2,79
2,88
3,8
3,13
3,37
3,39
3,96
4,32
5,32
5,85
5,87
6,56
7,22
7,25
7,39
7,75
7,84
7,91
8,19
8,32
8,33
8,65
9,62
9,93
10,29
10,33
10,49
10,51
10,68
11,25
11,32
11,42
11,83
11,86
11,87
11,88
11,89
12,29
12,42
12,77
12,78
12,81
12,82
12,90
13,65
13,73
13,79
13,82
14,58
14,83
15,21
15,34
15,49
15,56
15,61
15,87
15,93
16,92
16,97
17,29
17,38
17,68
18,26
18,69
18,76
18,77
18,80
18,90
18,91
19,22
19,32
19,54
20,31
20,36
20,38
20,45
20,64
20,73
21,26
21,33
21,36
21,48
21,68
21,88
21,89
21,91
22,39
22,63
22,90
23,31
23,43
23,94
24,46
25,44
25,47
25,53
25,72
25,79
25,80
25,90
25,97
26,27
26,54
26,68
27,34
27,37
27,41
27,51
27,57
27,69
27,70
27,77
27,80
27,84
27,93
27,95
27,98
28,32
28,54
28,62
29,42
29,77
29,82
29,90
30,59
30,79
31,65
31,70
31,71
31,85
31,91
32,51
32,52
32,71
33,53
33,54
33,74
33,78
33,79
33,91
34,53
34,59
34,80
34,93
34,97
35,92
35,97
36,47
36,67
36,68
37,44
37,45
37,59
37,61
37,83
37,96
38,62
38,91
39,57
39,58
39,64
40,59
40,97
41,43
41,79
42,44
42,56
42,64
43,75
44,50
44,85
45,47
45,83
45,95
46,52
46,85
47,53
47,78
48,60
48,76
48,90
49,50
49,52
49,67
49,77
49,86
50,58
50,67
51,67
51,68
51,89
52,56
52,67
52,88
53,77
53,83
53,89
54,85
54,93
55,76
55,91
55,95
56,80
56,89
57,87
58,62
58,74
58,87
58,96
59,81
59,85
59,90
60,71
60,79
60,81
60,96
61,66
61,84
61,93
61,96
62,86
62,91
62,95
62,96
63,84
64,68
64,80
65,77
65,78
65,87
65,88
66,84
67,87
68,70
69,94
70,72
70,77
71,79
72,85
72,95
73,93
73,98
74,80
74,84
75,93
75,99
76,80
80,83
80,96
90,93
90,98
96,98
